start_time,end_time,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Other
2025-01-01 00:00:00+01:00,2025-01-01 00:15:00+01:00,3950.69,3252.95,668.74,4710.83,3029.33,382.15,0,0,33.05,453.12,1325.97,108.62,0,0,97.99,9.94,704.74,2415.09,32967.0,211.68
2025-01-01 00:15:00+01:00,2025-01-01 00:30:00+01:00,3822.69,3266.7,568.02,4694.93,2754.7,382.21,0,0,33.1,838.35,1337.43,160.71,0,0,98.1,9.29,704.54,2601.31,32825.22,211.73
2025-01-01 00:30:00+01:00,2025-01-01 00:45:00+01:00,3763.84,3263.39,567.08,4650.52,2727.53,382.17,0,0,33.03,435.38,1337.11,75.11,0,0,98.43,9.34,704.64,2542.27,32823.78,211.75
2025-01-01 00:45:00+01:00,2025-01-01 01:00:00+01:00,3736.3,3294.67,579.25,4713.21,2714.25,382.16,0,0,33.15,105.91,1360.93,58.05,0,0,98.55,9.53,705.66,2450.01,32886.61,211.7
2025-01-01 01:00:00+01:00,2025-01-01 01:15:00+01:00,3799.98,3831.48,570.68,4506.82,2706.76,382.17,0,0,33.38,366.99,1339.28,58.47,0,0,98.38,9.9,708.51,2252.6,33248.86,211.64
2025-01-01 01:15:00+01:00,2025-01-01 01:30:00+01:00,3751.77,3856.79,560.18,4232.06,2726.4,382.2,0,0,33.22,84.92,1311.02,30.16,0,0,98.47,9.88,701.43,2509.98,33485.79,211.59
2025-01-01 01:30:00+01:00,2025-01-01 01:45:00+01:00,3748.31,3684.6,567.52,4211.31,2718.56,382.16,0,0,33.19,124.7,1328.2,55.53,0,0,98.44,9.04,709.47,2410.54,33636.77,211.54
2025-01-01 01:45:00+01:00,2025-01-01 02:00:00+01:00,3752.15,3584.13,581.01,4359.7,2724.12,382.18,0,0,33.22,0.27,1343.3,55.39,0,0,98.08,9.24,708.91,2407.95,33708.47,211.53
2025-01-01 02:00:00+01:00,2025-01-01 02:15:00+01:00,3715.63,3309.45,564.07,4186.35,2722.58,382.18,0,0,33.21,3.78,1316.32,35.06,0,0,97.99,9.31,704.84,2676.36,33773.01,211.5
2025-01-01 02:15:00+01:00,2025-01-01 02:30:00+01:00,3740.83,3256.01,532.38,4235.77,2726.26,382.18,0,0,33.27,0.2,1305.88,17.29,0,0,98.11,9.22,704.49,2663.94,33912.63,211.88
2025-01-01 02:30:00+01:00,2025-01-01 02:45:00+01:00,3739.21,3266.21,543.02,4219.98,2713.75,382.15,0,0,33.26,0.16,1327.21,40.34,0,0,98.16,9.25,706.95,2586.33,33700.41,211.75
2025-01-01 02:45:00+01:00,2025-01-01 03:00:00+01:00,3752.45,3228.51,513.15,4228.62,2705.26,382.15,0,0,33.46,0.16,1310.61,22.99,0,0,98.09,9.28,705.28,2529.92,33682.28,211.7
2025-01-01 03:00:00+01:00,2025-01-01 03:15:00+01:00,3749.2,3232.61,502.67,4190.26,2712.8,382.15,0,0,33.57,305.96,1307.17,21.86,0,0,97.77,9.95,697.55,1805.15,32721.41,211.92
2025-01-01 03:15:00+01:00,2025-01-01 03:30:00+01:00,3744.27,3223.0,488.43,4265.45,2646.26,382.18,0,0,33.61,81.61,1304.05,22.81,0,0,92.08,9.19,699.57,1746.86,32609.08,211.49
2025-01-01 03:30:00+01:00,2025-01-01 03:45:00+01:00,3729.26,3220.74,490.64,4324.89,2592.69,382.17,0,0,33.53,0.21,1293.82,15.07,0,0,89.73,9.16,703.56,1640.57,32933.68,211.49
2025-01-01 03:45:00+01:00,2025-01-01 04:00:00+01:00,3736.46,3229.4,496.16,4338.0,2604.41,382.15,0,0,33.66,0.19,1291.14,9.26,0,0,94.8,9.25,702.81,1544.3,33240.75,211.44
2025-01-01 04:00:00+01:00,2025-01-01 04:15:00+01:00,3731.18,3250.98,487.77,4340.12,2592.67,382.13,0,0,33.64,10.36,1294.8,60.26,0,0,94.9,9.35,694.77,1424.04,33068.22,211.49
