start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,5118051208.355769,21602624.163634613
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,5075822071.6875,21450617.74421731
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,5039481776.394231,21352136.454823077
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,5005494451.668269,21242233.355548076
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,5010127977.413462,21440830.466503844
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,5001985646.764423,21316669.53481346
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,5006636590.600962,21284433.452965382
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,5001741877.081731,21227753.26730192
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,5004730726.086538,21294130.592101924
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,5005514885.793269,21250044.018142305
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,5016007696.028846,21272242.142890386
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,5022242646.956731,21261630.5391
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,5022194120.557693,21292593.885975
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,5025208529.072115,21303521.629007693
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,5061504075.293269,21374364.405434612
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,5107216285.346154,21438870.078776922
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,5216614555.461538,21562734.818375
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,5312539035.302885,21768069.439357694
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,5420225400.769231,22010809.38611346
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,5563632848.149038,22251028.819259617
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,5793417685.543269,22578177.863567308
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,5989824866.024038,22889240.73513077
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,6172820651.427885,23230354.519551925
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,6340411438.399038,23532907.823425
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,6536596192.548077,23761639.13112692
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,6732530852.913462,24238460.13020192
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,6888490645.019231,24753560.57518077
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,7033527336.581731,25013181.06832115
2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,7152844172.543269,24899705.64713269
2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,7277143345.581731,25226225.399240382
2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,7361609025.341346,25401273.87855961
2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,7431649497.129807,25541264.086736538
2025-01-01 08:00:00+00:00,2025-01-01 08:15:00+00:00,7471871966.879807,25579620.011005767
2025-01-01 08:15:00+00:00,2025-01-01 08:30:00+00:00,7521899034.221154,25673417.858984612
2025-01-01 08:30:00+00:00,2025-01-01 08:45:00+00:00,7565733963.730769,25707067.06112692
2025-01-01 08:45:00+00:00,2025-01-01 09:00:00+00:00,7577788984.543269,25698687.698178843
2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00,7590528434.149038,25732920.07696923
2025-01-01 09:15:00+00:00,2025-01-01 09:30:00+00:00,7598862996.860577,25700925.447290383
2025-01-01 09:30:00+00:00,2025-01-01 09:45:00+00:00,7607368624.504807,25734926.253971152
2025-01-01 09:45:00+00:00,2025-01-01 10:00:00+00:00,7609508674.346154,25765331.108425
2025-01-01 10:00:00+00:00,2025-01-01 10:15:00+00:00,7627778282.274038,25856724.410161536
2025-01-01 10:15:00+00:00,2025-01-01 10:30:00+00:00,7632735973.432693,25842183.800071154
2025-01-01 10:30:00+00:00,2025-01-01 10:45:00+00:00,7633326466.451923,25832374.441080768
2025-01-01 10:45:00+00:00,2025-01-01 11:00:00+00:00,7633683587.389423,25810375.268517308
2025-01-01 11:00:00+00:00,2025-01-01 11:15:00+00:00,7640603948.274038,25859821.585992303
2025-01-01 11:15:00+00:00,2025-01-01 11:30:00+00:00,7639475868.846154,25850403.94889423
2025-01-01 11:30:00+00:00,2025-01-01 11:45:00+00:00,7633871338.173077,25846059.49898654
2025-01-01 11:45:00+00:00,2025-01-01 12:00:00+00:00,7637020622.634615,25822971.16979615
2025-01-01 12:00:00+00:00,2025-01-01 12:15:00+00:00,7632612336.6875,25871994.30476346
2025-01-01 12:15:00+00:00,2025-01-01 12:30:00+00:00,7620763804.985577,25742116.1103673
2025-01-01 12:30:00+00:00,2025-01-01 12:45:00+00:00,7605606078.120193,25758472.76255577
2025-01-01 12:45:00+00:00,2025-01-01 13:00:00+00:00,7598129086.817307,25747650.044117305
2025-01-01 13:00:00+00:00,2025-01-01 13:15:00+00:00,7611697395.889423,25849255.618534617
2025-01-01 13:15:00+00:00,2025-01-01 13:30:00+00:00,7624555377.990385,25750358.653778847
2025-01-01 13:30:00+00:00,2025-01-01 13:45:00+00:00,7636389141.903846,25751110.575653847
2025-01-01 13:45:00+00:00,2025-01-01 14:00:00+00:00,7627311535.485577,25691714.426621154
2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00,7632771857.528846,25820711.67771154
2025-01-01 14:15:00+00:00,2025-01-01 14:30:00+00:00,7643673933.533654,25886637.567982692
2025-01-01 14:30:00+00:00,2025-01-01 14:45:00+00:00,7660569372.274038,25929868.429923076
2025-01-01 14:45:00+00:00,2025-01-01 15:00:00+00:00,7667901589.355769,25917615.425753847
2025-01-01 15:00:00+00:00,2025-01-01 15:15:00+00:00,7678269344.995193,25884375.477192305
2025-01-01 15:15:00+00:00,2025-01-01 15:30:00+00:00,7703258991.403846,25991537.29733461
2025-01-01 15:30:00+00:00,2025-01-01 15:45:00+00:00,7715404717.605769,26081723.71416346
2025-01-01 15:45:00+00:00,2025-01-01 16:00:00+00:00,7718291489.966346,26146969.11699423
2025-01-01 16:00:00+00:00,2025-01-01 16:15:00+00:00,7733615581.009615,26013834.680317305
2025-01-01 16:15:00+00:00,2025-01-01 16:30:00+00:00,7768734427.307693,26127549.39737115
2025-01-01 16:30:00+00:00,2025-01-01 16:45:00+00:00,7795751437.822115,26274941.26610192
2025-01-01 16:45:00+00:00,2025-01-01 17:00:00+00:00,7825361696.264423,26408041.64250769
2025-01-01 17:00:00+00:00,2025-01-01 17:15:00+00:00,7821879151.980769,26344832.900903843
2025-01-01 17:15:00+00:00,2025-01-01 17:30:00+00:00,7854091111.740385,26507573.203905765
2025-01-01 17:30:00+00:00,2025-01-01 17:45:00+00:00,7860264465.206731,26730139.672805768
2025-01-01 17:45:00+00:00,2025-01-01 18:00:00+00:00,7861047104.461538,26758173.427978847
2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00,7832421438.514423,26622197.831398074
2025-01-01 18:15:00+00:00,2025-01-01 18:30:00+00:00,7832794882.875,26705001.742530767
2025-01-01 18:30:00+00:00,2025-01-01 18:45:00+00:00,7831773161.024038,26765787.350605767
2025-01-01 18:45:00+00:00,2025-01-01 19:00:00+00:00,7824441693.783654,26813899.221273072
2025-01-01 19:00:00+00:00,2025-01-01 19:15:00+00:00,7805832695.605769,26756371.80246731
2025-01-01 19:15:00+00:00,2025-01-01 19:30:00+00:00,7782998585.480769,26598480.901705764
2025-01-01 19:30:00+00:00,2025-01-01 19:45:00+00:00,7766811519.985577,26409870.174873076
2025-01-01 19:45:00+00:00,2025-01-01 20:00:00+00:00,7736943474.668269,26227909.183799997
2025-01-01 20:00:00+00:00,2025-01-01 20:15:00+00:00,7716445341.341346,26395556.10844423
2025-01-01 20:15:00+00:00,2025-01-01 20:30:00+00:00,7663177592.504807,26228743.27763077
2025-01-01 20:30:00+00:00,2025-01-01 20:45:00+00:00,7605534005.25,25941097.077803846
2025-01-01 20:45:00+00:00,2025-01-01 21:00:00+00:00,7522615859.120193,25793389.51458269
2025-01-01 21:00:00+00:00,2025-01-01 21:15:00+00:00,7484494796.341346,25984597.77539231
2025-01-01 21:15:00+00:00,2025-01-01 21:30:00+00:00,7419599910.75,25714370.536923073
2025-01-01 21:30:00+00:00,2025-01-01 21:45:00+00:00,7365723447.173077,25572512.669226922
2025-01-01 21:45:00+00:00,2025-01-01 22:00:00+00:00,7277536968.826923,25358484.312340382
2025-01-01 22:00:00+00:00,2025-01-01 22:15:00+00:00,7208394131.716346,25458293.14663654
2025-01-01 22:15:00+00:00,2025-01-01 22:30:00+00:00,7135320623.115385,25249677.301148076
2025-01-01 22:30:00+00:00,2025-01-01 22:45:00+00:00,7054903297.677885,25081792.503848076
2025-01-01 22:45:00+00:00,2025-01-01 23:00:00+00:00,6945899653.4375,24861463.096978843
2025-01-01 23:00:00+00:00,2025-01-01 23:15:00+00:00,6823042672.764423,24764931.773076918
2025-01-01 23:15:00+00:00,2025-01-01 23:30:00+00:00,6707453532.802885,24507084.121457692
2025-01-01 23:30:00+00:00,2025-01-01 23:45:00+00:00,6587187695.129807,24297091.675973076
