start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,5268734916.783654,17560317.01837692
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,5255596534.298077,17243867.959986538
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,5252880990.336538,17204149.09148269
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,5246189021.865385,17117943.45981346
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,5206985238.004464,17307072.303873215
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,5196489219.799108,17203624.173517857
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,5185346744.102678,17141655.590337496
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,5190718935.339286,17093353.554467853
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,5197148433.410714,17133272.55131607
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,5201910644.96875,17072322.824189283
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,5212842334.191964,17127152.563039284
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,5224808340.660714,17068546.628130358
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,5223716826.169642,17143843.110966068
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,5232635631.950892,17101348.504142854
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,5242297276.96875,17074644.09161607
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,5265219776.183036,17161925.03033214
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,5306388361.616072,17198669.444475
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,5337991768.678572,17294677.799951784
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,5364923277.397322,17361660.242551785
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,5399238496.209822,17507728.62110357
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,5454864011.111608,17601677.68659107
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,5487121221.433036,17814676.944683928
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,5523763123.683036,18000959.56891071
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,5554882070.066964,18358870.113701783
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,5601392607.834822,18150872.752812497
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,5637704561.049108,18514493.28739464
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,5651586045.584822,18822024.96672321
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,5690326278.111608,19195457.872874998
2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,5725323985.691964,19112309.93083214
2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,5765613079.763392,19387078.750308927
2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,5799887018.3125,19403550.622433927
2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,5818147421.321428,19386295.182217855
2025-01-01 08:00:00+00:00,2025-01-01 08:15:00+00:00,5832154311.959822,19789054.91001964
2025-01-01 08:15:00+00:00,2025-01-01 08:30:00+00:00,5850657345.513392,19539139.342801783
2025-01-01 08:30:00+00:00,2025-01-01 08:45:00+00:00,5863865956.375,19184135.857548214
2025-01-01 08:45:00+00:00,2025-01-01 09:00:00+00:00,5863564494.834822,18879316.232083928
2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00,5862516846.848214,19573242.796323214
2025-01-01 09:15:00+00:00,2025-01-01 09:30:00+00:00,5862592985.34375,19237937.67173571
2025-01-01 09:30:00+00:00,2025-01-01 09:45:00+00:00,5853166957.821428,18923493.332148213
2025-01-01 09:45:00+00:00,2025-01-01 10:00:00+00:00,5842847011.709822,18619596.71424464
2025-01-01 10:00:00+00:00,2025-01-01 10:15:00+00:00,5806235850.709822,19201238.06084821
2025-01-01 10:15:00+00:00,2025-01-01 10:30:00+00:00,5794878567.379464,18851233.039810713
2025-01-01 10:30:00+00:00,2025-01-01 10:45:00+00:00,5790846180.111608,18680617.334189285
2025-01-01 10:45:00+00:00,2025-01-01 11:00:00+00:00,5774118926.0,18363639.116396427
2025-01-01 11:00:00+00:00,2025-01-01 11:15:00+00:00,5749136579.236608,18508034.19144821
2025-01-01 11:15:00+00:00,2025-01-01 11:30:00+00:00,5746028329.053572,18452216.121401783
2025-01-01 11:30:00+00:00,2025-01-01 11:45:00+00:00,5739402602.053572,18531025.471371423
2025-01-01 11:45:00+00:00,2025-01-01 12:00:00+00:00,5730639653.165178,18376586.876642857
2025-01-01 12:00:00+00:00,2025-01-01 12:15:00+00:00,5677817792.441964,18459352.86288214
2025-01-01 12:15:00+00:00,2025-01-01 12:30:00+00:00,5646925838.607142,18180551.78726607
2025-01-01 12:30:00+00:00,2025-01-01 12:45:00+00:00,5627066462.526786,18123678.382357143
2025-01-01 12:45:00+00:00,2025-01-01 13:00:00+00:00,5608637895.495536,18034046.81433571
2025-01-01 13:00:00+00:00,2025-01-01 13:15:00+00:00,5557545467.03125,18168791.11117857
2025-01-01 13:15:00+00:00,2025-01-01 13:30:00+00:00,5561576741.825892,18100917.29963214
2025-01-01 13:30:00+00:00,2025-01-01 13:45:00+00:00,5504841660.495536,17943051.74415
2025-01-01 13:45:00+00:00,2025-01-01 14:00:00+00:00,5480032940.169642,17830582.81526607
2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00,5499358515.017858,17962630.893614285
2025-01-01 14:15:00+00:00,2025-01-01 14:30:00+00:00,5489156070.919642,18046261.975849997
2025-01-01 14:30:00+00:00,2025-01-01 14:45:00+00:00,5493465753.15625,18004314.97096964
2025-01-01 14:45:00+00:00,2025-01-01 15:00:00+00:00,5495460208.401786,17903026.215042856
2025-01-01 15:00:00+00:00,2025-01-01 15:15:00+00:00,5523358710.450892,17830191.29813393
2025-01-01 15:15:00+00:00,2025-01-01 15:30:00+00:00,5539897979.78125,17975781.7959375
2025-01-01 15:30:00+00:00,2025-01-01 15:45:00+00:00,5549874846.674108,18206176.136539284
2025-01-01 15:45:00+00:00,2025-01-01 16:00:00+00:00,5569552345.044642,18295910.33693571
2025-01-01 16:00:00+00:00,2025-01-01 16:15:00+00:00,5600582444.102678,18133003.844392855
2025-01-01 16:15:00+00:00,2025-01-01 16:30:00+00:00,5651524150.977678,18402496.801382143
2025-01-01 16:30:00+00:00,2025-01-01 16:45:00+00:00,5690949345.004464,18570009.101057142
2025-01-01 16:45:00+00:00,2025-01-01 17:00:00+00:00,5743156555.410714,18786394.319533926
2025-01-01 17:00:00+00:00,2025-01-01 17:15:00+00:00,5818003778.736608,18586423.26360714
2025-01-01 17:15:00+00:00,2025-01-01 17:30:00+00:00,5863099227.78125,18870490.31720357
2025-01-01 17:30:00+00:00,2025-01-01 17:45:00+00:00,5904537247.674108,19319712.991333928
2025-01-01 17:45:00+00:00,2025-01-01 18:00:00+00:00,5932405471.049108,19798975.423825
2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00,5962206190.34375,19155071.60953393
2025-01-01 18:15:00+00:00,2025-01-01 18:30:00+00:00,5996005895.410714,19712199.078348212
2025-01-01 18:30:00+00:00,2025-01-01 18:45:00+00:00,6011034262.428572,20468521.137730356
2025-01-01 18:45:00+00:00,2025-01-01 19:00:00+00:00,6009976841.696428,20776182.491978567
2025-01-01 19:00:00+00:00,2025-01-01 19:15:00+00:00,6004639981.5625,19978353.34228571
2025-01-01 19:15:00+00:00,2025-01-01 19:30:00+00:00,6009904039.558036,20389681.808828566
2025-01-01 19:30:00+00:00,2025-01-01 19:45:00+00:00,6001364243.776786,20521199.94615535
2025-01-01 19:45:00+00:00,2025-01-01 20:00:00+00:00,5997815358.5625,20697731.973033927
2025-01-01 20:00:00+00:00,2025-01-01 20:15:00+00:00,6000495008.40625,20621702.213778567
2025-01-01 20:15:00+00:00,2025-01-01 20:30:00+00:00,6001403639.0,20543518.75891607
