start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,4553534603.468227,14263833.295782952
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,4502996028.9175825,14144617.026989022
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,4475204026.452477,13947867.844863765
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,4440407271.501102,13878237.985424874
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,4422795572.875817,13942314.399901982
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,4409443859.210161,13888775.87232855
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,4414670334.246627,13868659.259068467
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,4418380609.167634,13836986.335717993
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,4411599625.012348,13880696.830152009
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,4395271249.60861,13818810.677513365
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,4390758437.718067,13789300.674983524
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,4393783733.368273,13758067.906196369
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,4404659337.188777,13790402.27636766
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,4392704723.164767,13760367.673487036
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,4403187969.836194,13783546.77222472
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,4413406043.085781,13793094.642987153
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,4447149085.432948,13902775.839672148
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,4468253130.151473,13974362.351476006
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,4493261442.492404,13994623.70454056
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,4519064769.422706,13976776.458497226
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,4584305303.711369,14137263.097796775
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,4623618192.035548,14251613.460534692
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,4666780375.236852,14409227.482735317
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,4729398246.296825,14693048.637083419
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,4821307472.572646,14794632.481028484
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,4898244713.129419,15070808.285884641
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,4963776071.168261,15442605.755700601
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,5032465639.140646,16009874.94666329
2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,5108158787.494881,16004976.657797558
2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,5155174179.224642,16383768.934619285
2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,5190016043.260664,16544451.055395184
2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,5224229546.509025,16579173.595987638
2025-01-01 08:00:00+00:00,2025-01-01 08:15:00+00:00,5245818202.4603615,16661734.875431031
2025-01-01 08:15:00+00:00,2025-01-01 08:30:00+00:00,5246376953.876695,16632394.746306492
2025-01-01 08:30:00+00:00,2025-01-01 08:45:00+00:00,5249515918.565599,16592819.402921816
2025-01-01 08:45:00+00:00,2025-01-01 09:00:00+00:00,5217081607.968025,16352126.94823884
2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00,5157429186.036816,16359930.353040185
2025-01-01 09:15:00+00:00,2025-01-01 09:30:00+00:00,5117522258.541531,16056130.689806253
2025-01-01 09:30:00+00:00,2025-01-01 09:45:00+00:00,5079442879.511894,15766182.911678324
2025-01-01 09:45:00+00:00,2025-01-01 10:00:00+00:00,5039216084.086152,15474929.065762639
2025-01-01 10:00:00+00:00,2025-01-01 10:15:00+00:00,4958364894.558762,15454657.510949144
2025-01-01 10:15:00+00:00,2025-01-01 10:30:00+00:00,4892088765.097673,15199270.644422831
2025-01-01 10:30:00+00:00,2025-01-01 10:45:00+00:00,4849060491.215727,15073890.54352555
2025-01-01 10:45:00+00:00,2025-01-01 11:00:00+00:00,4806457887.778751,14912377.910410829
2025-01-01 11:00:00+00:00,2025-01-01 11:15:00+00:00,4719618947.928549,14947403.866375826
2025-01-01 11:15:00+00:00,2025-01-01 11:30:00+00:00,4694434794.493344,14762638.198214311
2025-01-01 11:30:00+00:00,2025-01-01 11:45:00+00:00,4665599530.730381,14671696.268999903
2025-01-01 11:45:00+00:00,2025-01-01 12:00:00+00:00,4633880570.7345495,14527365.654941572
2025-01-01 12:00:00+00:00,2025-01-01 12:15:00+00:00,4603578334.582029,14462074.15479662
2025-01-01 12:15:00+00:00,2025-01-01 12:30:00+00:00,4573502939.325164,14407152.814763231
2025-01-01 12:30:00+00:00,2025-01-01 12:45:00+00:00,4548811085.3377,14406765.026020506
2025-01-01 12:45:00+00:00,2025-01-01 13:00:00+00:00,4547401911.507997,14365718.776783349
2025-01-01 13:00:00+00:00,2025-01-01 13:15:00+00:00,4535362502.716348,14301873.424695339
2025-01-01 13:15:00+00:00,2025-01-01 13:30:00+00:00,4497267501.97304,14237924.71506421
2025-01-01 13:30:00+00:00,2025-01-01 13:45:00+00:00,4523726564.123142,14341838.335282914
2025-01-01 13:45:00+00:00,2025-01-01 14:00:00+00:00,4525727532.985701,14354281.986105409
2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00,4545627988.925218,14369710.980205785
2025-01-01 14:15:00+00:00,2025-01-01 14:30:00+00:00,4581092726.066727,14520170.826930795
2025-01-01 14:30:00+00:00,2025-01-01 14:45:00+00:00,4622345288.467671,14710276.976472732
2025-01-01 14:45:00+00:00,2025-01-01 15:00:00+00:00,4686829426.863723,14833157.599258196
2025-01-01 15:00:00+00:00,2025-01-01 15:15:00+00:00,4766841972.593133,14861409.674974313
2025-01-01 15:15:00+00:00,2025-01-01 15:30:00+00:00,4854611823.458306,15142847.640715616
2025-01-01 15:30:00+00:00,2025-01-01 15:45:00+00:00,4947896675.72674,15314714.625513643
2025-01-01 15:45:00+00:00,2025-01-01 16:00:00+00:00,5021401236.663252,15723982.830090059
2025-01-01 16:00:00+00:00,2025-01-01 16:15:00+00:00,5134237250.351527,15762403.940733105
2025-01-01 16:15:00+00:00,2025-01-01 16:30:00+00:00,5231468237.216122,16158565.868988395
2025-01-01 16:30:00+00:00,2025-01-01 16:45:00+00:00,5290844065.502455,16434878.18321049
2025-01-01 16:45:00+00:00,2025-01-01 17:00:00+00:00,5342531318.164934,16767785.126891337
2025-01-01 17:00:00+00:00,2025-01-01 17:15:00+00:00,5399319139.8632345,16809286.245703552
2025-01-01 17:15:00+00:00,2025-01-01 17:30:00+00:00,5452235431.515493,17092848.28314909
2025-01-01 17:30:00+00:00,2025-01-01 17:45:00+00:00,5492940588.372277,17388791.21739035
2025-01-01 17:45:00+00:00,2025-01-01 18:00:00+00:00,5528937777.351154,17593769.473080534
2025-01-01 18:00:00+00:00,2025-01-01 18:15:00+00:00,5568836303.550655,17494360.66589527
2025-01-01 18:15:00+00:00,2025-01-01 18:30:00+00:00,5595324900.07635,17510335.474290144
2025-01-01 18:30:00+00:00,2025-01-01 18:45:00+00:00,5598370500.933535,17518286.697280064
2025-01-01 18:45:00+00:00,2025-01-01 19:00:00+00:00,5595446949.872306,17666334.808266953
2025-01-01 19:00:00+00:00,2025-01-01 19:15:00+00:00,5570173067.5527,17644737.160338696
2025-01-01 19:15:00+00:00,2025-01-01 19:30:00+00:00,5559216878.33496,17370054.147843298
2025-01-01 19:30:00+00:00,2025-01-01 19:45:00+00:00,5548120887.940048,17057600.668026052
2025-01-01 19:45:00+00:00,2025-01-01 20:00:00+00:00,5535948992.891119,16926804.429397557
2025-01-01 20:00:00+00:00,2025-01-01 20:15:00+00:00,5489467026.711096,17008083.227696564
2025-01-01 20:15:00+00:00,2025-01-01 20:30:00+00:00,5453388555.211385,16677153.13843562
2025-01-01 20:30:00+00:00,2025-01-01 20:45:00+00:00,5424464229.514721,16333473.45333103
2025-01-01 20:45:00+00:00,2025-01-01 21:00:00+00:00,5404056536.947122,16123882.386733763
2025-01-01 21:00:00+00:00,2025-01-01 21:15:00+00:00,5352834479.391536,16201314.48316399
2025-01-01 21:15:00+00:00,2025-01-01 21:30:00+00:00,5318771403.2325325,15931762.17606559
2025-01-01 21:30:00+00:00,2025-01-01 21:45:00+00:00,5297442785.130275,15695838.577728437
2025-01-01 21:45:00+00:00,2025-01-01 22:00:00+00:00,5256561001.909394,15570705.978407273
2025-01-01 22:00:00+00:00,2025-01-01 22:15:00+00:00,5219470897.850375,15763187.545195153
2025-01-01 22:15:00+00:00,2025-01-01 22:30:00+00:00,5193202877.69785,15541271.701127665
2025-01-01 22:30:00+00:00,2025-01-01 22:45:00+00:00,5157777078.880492,15437261.008338103
2025-01-01 22:45:00+00:00,2025-01-01 23:00:00+00:00,5106402898.72561,15264279.59373445
2025-01-01 23:00:00+00:00,2025-01-01 23:15:00+00:00,5039610822.03391,15329197.584529497
2025-01-01 23:15:00+00:00,2025-01-01 23:30:00+00:00,4992303329.019789,15081822.002057467
2025-01-01 23:30:00+00:00,2025-01-01 23:45:00+00:00,4959922256.516329,14999422.907358
2025-01-01 23:45:00+00:00,2025-01-02 00:00:00+00:00,4917000780.223902,14878133.171235839
2025-01-02 00:00:00+00:00,2025-01-02 00:15:00+00:00,4859928277.589679,14924317.818810288
2025-01-02 00:15:00+00:00,2025-01-02 00:30:00+00:00,4782542998.623229,14780991.381842729
2025-01-02 00:30:00+00:00,2025-01-02 00:45:00+00:00,4757175386.837084,14654361.988744332
2025-01-02 00:45:00+00:00,2025-01-02 01:00:00+00:00,4736131522.088627,14582773.936994715
2025-01-02 01:00:00+00:00,2025-01-02 01:15:00+00:00,4733087736.175475,14598796.067205964
2025-01-02 01:15:00+00:00,2025-01-02 01:30:00+00:00,4721835590.759136,14486857.30018274
2025-01-02 01:30:00+00:00,2025-01-02 01:45:00+00:00,4714481477.148281,14468363.668043094
2025-01-02 01:45:00+00:00,2025-01-02 02:00:00+00:00,4716003249.723044,14485473.815252896
2025-01-02 02:00:00+00:00,2025-01-02 02:15:00+00:00,4727495365.286723,14462636.688841436
2025-01-02 02:15:00+00:00,2025-01-02 02:30:00+00:00,4711699438.044845,14443837.17483942
