start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 02:00:00+00:00,4344494445.833333,417811006.26666665
2025-01-01 02:00:00+00:00,2025-01-01 04:00:00+00:00,4174262883.3333335,399829827.8941667
2025-01-01 04:00:00+00:00,2025-01-01 06:00:00+00:00,4485541329.166667,399370364.345
2025-01-01 06:00:00+00:00,2025-01-01 08:00:00+00:00,6163144668.75,477939241.97
2025-01-01 08:00:00+00:00,2025-01-01 10:00:00+00:00,7841426283.333333,529487144.56333333
2025-01-01 10:00:00+00:00,2025-01-01 12:00:00+00:00,8301515987.5,523765058.2683334
2025-01-01 12:00:00+00:00,2025-01-01 14:00:00+00:00,8323134547.916667,509530102.7666667
2025-01-01 14:00:00+00:00,2025-01-01 16:00:00+00:00,8145980445.833333,489068723.1691666
2025-01-01 16:00:00+00:00,2025-01-01 18:00:00+00:00,8220431970.833333,504304971.30416673
2025-01-01 18:00:00+00:00,2025-01-01 20:00:00+00:00,8565983247.916667,558795967.58
2025-01-01 20:00:00+00:00,2025-01-01 22:00:00+00:00,7904345808.333333,517830187.99083334
2025-01-01 22:00:00+00:00,2025-01-02 00:00:00+00:00,7072783366.666667,492184963.45250005
2025-01-02 00:00:00+00:00,2025-01-02 02:00:00+00:00,6194453429.166667,450386643.7391667
2025-01-02 02:00:00+00:00,2025-01-02 04:00:00+00:00,5789461462.5,430718535.46333337
2025-01-02 04:00:00+00:00,2025-01-02 06:00:00+00:00,5966854008.333333,432546077.1333334
2025-01-02 06:00:00+00:00,2025-01-02 08:00:00+00:00,8010621997.916667,503813800.81333333
2025-01-02 08:00:00+00:00,2025-01-02 10:00:00+00:00,9508477197.916666,544291968.5083333
2025-01-02 10:00:00+00:00,2025-01-02 12:00:00+00:00,9629601987.5,536499385.1908334
2025-01-02 12:00:00+00:00,2025-01-02 14:00:00+00:00,9510910556.25,518382851.5841667
2025-01-02 14:00:00+00:00,2025-01-02 16:00:00+00:00,9150916912.5,491635087.23083335
2025-01-02 16:00:00+00:00,2025-01-02 18:00:00+00:00,8809054677.083334,505735854.18333334
2025-01-02 18:00:00+00:00,2025-01-02 20:00:00+00:00,9287976854.166666,564551846.0075
2025-01-02 20:00:00+00:00,2025-01-02 22:00:00+00:00,8627048991.666666,513525187.66249996
2025-01-02 22:00:00+00:00,2025-01-03 00:00:00+00:00,7511816341.666667,485617433.29583335
2025-01-03 00:00:00+00:00,2025-01-03 02:00:00+00:00,6790501700.0,446716312.5369231
2025-01-03 02:00:00+00:00,2025-01-03 04:00:00+00:00,6387574700.0,425518569.4207693
2025-01-03 04:00:00+00:00,2025-01-03 06:00:00+00:00,6503353007.692307,421482744.6953846
2025-01-03 06:00:00+00:00,2025-01-03 08:00:00+00:00,8250497228.846154,494432431.6292308
2025-01-03 08:00:00+00:00,2025-01-03 10:00:00+00:00,9646723573.076923,547739687.0623077
2025-01-03 10:00:00+00:00,2025-01-03 12:00:00+00:00,9795245469.23077,536157460.7715385
2025-01-03 12:00:00+00:00,2025-01-03 14:00:00+00:00,9608637621.153847,508754194.46153843
2025-01-03 14:00:00+00:00,2025-01-03 16:00:00+00:00,9303623559.615385,488447507.6946154
2025-01-03 16:00:00+00:00,2025-01-03 18:00:00+00:00,9436890161.538462,500053707.2546154
2025-01-03 18:00:00+00:00,2025-01-03 20:00:00+00:00,9741364338.461538,561204289.0715384
2025-01-03 20:00:00+00:00,2025-01-03 22:00:00+00:00,9198869311.538462,515542860.6569232
2025-01-03 22:00:00+00:00,2025-01-04 00:00:00+00:00,8355969030.769231,488876902.1007693
2025-01-04 00:00:00+00:00,2025-01-04 02:00:00+00:00,7287612976.923077,460449870.19153845
2025-01-04 02:00:00+00:00,2025-01-04 04:00:00+00:00,6869269884.615385,437541253.3038461
2025-01-04 04:00:00+00:00,2025-01-04 06:00:00+00:00,6976850715.384615,432898191.2569231
2025-01-04 06:00:00+00:00,2025-01-04 08:00:00+00:00,8796427934.615385,505443377.0192308
2025-01-04 08:00:00+00:00,2025-01-04 10:00:00+00:00,9936536909.615385,549560635.3992308
2025-01-04 10:00:00+00:00,2025-01-04 12:00:00+00:00,10044194019.23077,545182647.8915385
2025-01-04 12:00:00+00:00,2025-01-04 14:00:00+00:00,9880871761.538462,519927592.84000003
2025-01-04 14:00:00+00:00,2025-01-04 16:00:00+00:00,9689111505.76923,492372719.2107693
2025-01-04 16:00:00+00:00,2025-01-04 18:00:00+00:00,9799191159.615385,514157366.1830769
2025-01-04 18:00:00+00:00,2025-01-04 20:00:00+00:00,9972835244.23077,572864013.5046154
2025-01-04 20:00:00+00:00,2025-01-04 22:00:00+00:00,9537218453.846153,529462251.0746154
