start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,2822734100.0,118310445.81692307
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,2527872976.923077,115082323.15615384
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,2529841400.0,113697297.13153847
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,2463668980.769231,111650366.1323077
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,2482390961.5384617,111580015.94846155
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,2619432484.6153846,115332410.76692308
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,3172570700.0,129050455.10076922
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,3584827740.3846154,150970561.62
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,3665217019.230769,159968878.80461538
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,3771142205.769231,159465710.34384614
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,3782398863.4615383,153658825.89846155
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,3808578288.4615383,149843620.5376923
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,3857669282.6923075,146249690.76846153
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,3874348503.8461537,144404821.57307693
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,3921893417.3076925,145287475.90307692
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,3938395942.3076925,148796854.62
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,3905649607.6923075,151561809.07076925
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,3865599298.076923,159594246.23923078
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,3837631169.230769,168161990.49307692
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,3855052953.8461537,170727762.11307696
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,3610009409.6153846,152219647.19692308
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,3435156750.0,134657211.78384617
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,3252236615.3846154,129212805.85923077
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,3085911480.769231,125313168.84769231
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,2861044965.3846154,123627819.0323077
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,2748023376.923077,120079840.95307693
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,2825180426.923077,118277834.10153848
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,2739810653.8461537,115707472.83384617
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,2703144596.1538463,116475158.66692308
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,2828076257.6923075,121508788.30538462
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,3059724634.6153846,134899460.02846155
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,3367434442.3076925,151055790.9523077
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,3557090186.5384617,163367210.5092308
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,3670997455.769231,162610420.12923077
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,3744304113.4615383,157883020.0823077
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,3686884648.076923,154980608.76846153
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,3636182096.1538463,149247776.85538462
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,3639210826.923077,144511239.45923078
