start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,182735806.53846154,47089109.621651925
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,179728351.46153846,45896229.62819423
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,176043144.89423078,44858907.43885
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,173445137.33653846,44436666.04806154
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,172181006.25,44056477.70443462
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,171394283.01923078,43545907.41811346
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,171308790.5096154,43383829.10164039
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,170900397.04807693,43128499.55373077
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,171068629.7403846,42974167.875875
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,170685813.91346154,42588086.40579808
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,170253504.40384614,42287134.19421731
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,169893144.83653846,42001728.272269234
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,169410781.10576922,41571204.670705765
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,169088705.66346154,41419155.204224996
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,169049625.6153846,41353546.660996154
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,169611109.83653846,41249551.25980962
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,171685557.26923078,41343812.574932694
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,173935834.65384614,41325768.180807695
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,175205805.89423078,41381037.63186347
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,176204231.65384614,41500253.77452885
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,177989138.72115386,41900363.62851731
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,181109190.53846154,42152460.00665385
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,184044410.29807693,42699618.99571539
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,186399838.44230768,43101114.379140384
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,196320500.0721154,44754456.7086
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,203887738.97115386,45365466.49358077
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,210623253.41826922,46398455.354607694
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,219708306.92307693,46889838.933605775
