start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,10826551570.0,21589799.745078567
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,10531070998.892857,21114631.692999996
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,10431120930.035715,20955723.796928566
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,10540213993.714285,21136202.49453571
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,10653084427.214285,21323831.549964283
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,11173179423.357143,22239981.69837142
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,13161459194.428572,25546805.300414283
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,14699900858.892857,28190657.220057137
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,15424992356.25,29892665.297135707
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,15618031228.607143,30745373.419649992
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,15498322444.285715,30728159.67115714
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,15538105707.714285,30792618.537514277
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,15495881319.25,30653742.256057136
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,15411489249.142857,30511201.206728566
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,15064836219.857143,29495698.90866428
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,14851217770.892857,28997585.13352142
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,14621046181.214285,28636668.41043571
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,14522316328.5,28565935.903092854
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,14755958773.821428,29076865.522542853
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,15131330943.25,29794640.073121425
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,15247520203.535715,30159439.406707138
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,14788824236.892857,29055555.50346428
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,14092341893.142857,27465303.37328571
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,12976196076.535715,25368687.798271425
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,12330678093.857143,24095119.970092855
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,11927454254.653847,23545576.153823074
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,11751903361.0,23267294.22831538
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,11752185988.653847,23269499.54311538
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,11937612274.23077,23578621.486669227
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,12377976869.692308,24362678.144761536
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,14140032439.461538,27292107.838499997
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,15530189427.961538,29673051.31744615
