start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,13104398605.75,24842099.125333328
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,12946712294.375,24576158.70723333
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,12939433271.916666,24567177.168608326
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,13075091009.875,24809483.38988333
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,13383985442.0,25315572.32371666
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,14251626463.708334,26733659.446016658
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,16088463729.875,29760767.148608327
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,17238707696.791668,31812653.539299995
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,17876233085.625,33101306.01091666
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,18273082117.375,34112634.554249994
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,18227553585.708332,34359705.374424994
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,18268369793.916668,34513147.38409166
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,18155506046.625,34241581.350774996
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,18213477237.5,34154135.70131666
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,18021619546.416668,33776337.83349166
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,17747374435.583332,33592595.25878333
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,17827803277.583332,34120953.17239999
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,18205099628.75,35010726.32730833
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,18206473768.291668,34991983.524008326
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,17972520199.416668,34449081.143149994
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,17494438673.208332,33160088.70744166
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,16563664122.625,31251859.717291664
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,15858090219.208334,29645355.625874996
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,14927527663.916666,28026244.914908323
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,14636026512.875,27453259.010299996
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,14381200003.041666,27015274.46601666
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,14143063467.375,26625336.205749992
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,14164227454.208334,26659268.538499996
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,14440441026.333334,27110703.92991666
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,15104290700.166666,28200921.38400833
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,16510920448.208334,30500730.507149994
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,17542180804.208332,32281130.74484166
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,18022122714.833332,33568811.075808324
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,18289367290.541668,34352158.30871666
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,18268436570.291668,34343857.02972499
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,18230569371.041668,34334597.85918333
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,18136109488.25,34195689.075574994
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,18138337547.416668,34065563.018766664
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,17935901185.125,33610973.146083325
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,17737937249.25,33278909.819299996
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,17861934466.25,33963886.70134166
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,18196230941.291668,34886238.18829166
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,18299953881.208332,35143906.11335
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,18055174571.416668,34609518.61076666
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,17553040452.666668,33211694.511208326
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,16649198963.083334,31325596.34965833
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,15732970938.5,29367852.57013333
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,14783781172.875,27726418.08920833
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,14433950253.541666,27109356.731849995
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,14224708752.583334,26754323.833566662
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,14056207634.25,26447768.91604999
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,14088627208.208334,26513901.831449997
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,14393910782.583334,27015592.207566664
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,14956660189.25,27936913.954033326
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,16486887058.5,30524764.29509166
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,17629105874.791668,32393223.591099992
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,18076029841.25,33592374.42507499
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,18212851546.75,34248635.847616665
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,17991396989.458332,33965004.18678332
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,17946897651.833332,33830479.73102499
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,17812979218.166668,33450822.370174993
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,17878567426.583332,33447682.753124993
