start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,11203694663.307692,20081086.843269225
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,11327829190.892857,20313989.355878565
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,11411985256.0,20445061.958128568
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,11504888471.714285,20591640.943778567
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,11621720638.0,20786342.449742854
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,11891338568.607143,21219565.959228568
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,13487375624.25,23828448.12747142
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,14543337060.0,25542361.6951
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,14750534257.571428,26032866.945364278
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,14490604940.535715,25662587.746828564
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,13944040753.946428,24607324.82787857
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,13676207319.285715,24066758.92191428
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,13550974565.892857,23810430.161171425
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,13534759430.803572,23747533.234357137
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,13473327267.535715,23656634.208942853
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,13790889683.535715,24206236.224749994
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,14273322260.142857,25080464.627114277
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,14920580987.0,26206024.297828566
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,15544583885.607143,27605459.639142852
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,15801625937.660715,28671339.664578564
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,15871783734.017857,29176484.826707136
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,15409336823.982143,28170233.45545714
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,14460615798.107143,26019872.142857138
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,13468523169.071428,24062066.38448571
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,12822621831.357143,22813470.876128566
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,12618467567.392857,22454771.223685708
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,12474274658.285715,22211531.33903571
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,12473492260.285715,22200739.18103571
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,12601812812.214285,22393891.290021423
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,12836808507.017857,22769248.492771424
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,14091381962.696428,24817811.68679285
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,15065132140.464285,26359227.739235707
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,15222701767.267857,26660934.707499992
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,14834613655.732143,26065452.22756428
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,14336566959.732143,25193773.86366428
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,14268128903.303572,24981696.206899993
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,14188697062.321428,24803604.416078568
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,14212464269.089285,24834154.271049995
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,14236776050.892857,24897747.239571422
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,14492765335.517857,25339403.794128567
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,14803552478.196428,25905009.037007134
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,15319545933.821428,26818911.710485708
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,15669311281.75,27870283.140878566
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,16096394886.714285,29164447.62615714
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,16206134943.910715,29674647.457599994
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,15753401920.178572,28569784.169128567
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,14700602325.642857,26385301.098721422
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,13825966531.178572,24582841.76048571
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,13008045712.571428,23034267.091914278
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,12789969009.785715,22651638.020049993
2025-01-03 02:00:00+00:00,2025-01-03 03:00:00+00:00,12787349585.25,22651910.70103571
2025-01-03 03:00:00+00:00,2025-01-03 04:00:00+00:00,12894530872.892857,22827557.088464282
2025-01-03 04:00:00+00:00,2025-01-03 05:00:00+00:00,12973995851.125,22961014.34556428
2025-01-03 05:00:00+00:00,2025-01-03 06:00:00+00:00,13084698779.607143,23131010.693142854
2025-01-03 06:00:00+00:00,2025-01-03 07:00:00+00:00,14426731611.375,25347878.56785714
2025-01-03 07:00:00+00:00,2025-01-03 08:00:00+00:00,15395290782.035715,26917256.039649993
2025-01-03 08:00:00+00:00,2025-01-03 09:00:00+00:00,15419595911.303572,27039238.113021422
2025-01-03 09:00:00+00:00,2025-01-03 10:00:00+00:00,14878724635.857143,26209390.647764284
2025-01-03 10:00:00+00:00,2025-01-03 11:00:00+00:00,14142749402.785715,24832044.23683571
2025-01-03 11:00:00+00:00,2025-01-03 12:00:00+00:00,13855121497.928572,24298173.14783571
2025-01-03 12:00:00+00:00,2025-01-03 13:00:00+00:00,13794436730.017857,24146034.70772857
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,13826360913.678572,24183022.55132142
2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,13845127920.267857,24213831.36129285
2025-01-03 15:00:00+00:00,2025-01-03 16:00:00+00:00,14290786942.964285,24967302.648507137
2025-01-03 16:00:00+00:00,2025-01-03 17:00:00+00:00,14856940126.0,25940479.489571422
2025-01-03 17:00:00+00:00,2025-01-03 18:00:00+00:00,15524946616.875,27130519.592807136
2025-01-03 18:00:00+00:00,2025-01-03 19:00:00+00:00,15979813216.25,28284562.90840714
2025-01-03 19:00:00+00:00,2025-01-03 20:00:00+00:00,16392567672.785715,29726834.41781428
2025-01-03 20:00:00+00:00,2025-01-03 21:00:00+00:00,16468305213.196428,30093242.449428566
2025-01-03 21:00:00+00:00,2025-01-03 22:00:00+00:00,15938321455.142857,28997835.24453571
2025-01-03 22:00:00+00:00,2025-01-03 23:00:00+00:00,14934722007.214285,26818246.493935708
2025-01-03 23:00:00+00:00,2025-01-04 00:00:00+00:00,13872877851.892857,24655553.961199995
2025-01-04 00:00:00+00:00,2025-01-04 01:00:00+00:00,12974258883.321428,23043971.49922142
2025-01-04 01:00:00+00:00,2025-01-04 02:00:00+00:00,12790468291.428572,22724738.44816428
2025-01-04 02:00:00+00:00,2025-01-04 03:00:00+00:00,12782653192.428572,22712312.53909285
2025-01-04 03:00:00+00:00,2025-01-04 04:00:00+00:00,12817489884.321428,22770057.675892852
2025-01-04 04:00:00+00:00,2025-01-04 05:00:00+00:00,12862538445.142857,22837552.075728565
2025-01-04 05:00:00+00:00,2025-01-04 06:00:00+00:00,12987760712.339285,23039240.529449996
2025-01-04 06:00:00+00:00,2025-01-04 07:00:00+00:00,14329565416.0,25275746.689671423
2025-01-04 07:00:00+00:00,2025-01-04 08:00:00+00:00,15228425623.464285,26712525.017235707
2025-01-04 08:00:00+00:00,2025-01-04 09:00:00+00:00,15149637176.232143,26611160.063349996
2025-01-04 09:00:00+00:00,2025-01-04 10:00:00+00:00,14474795382.589285,25511064.419742852
2025-01-04 10:00:00+00:00,2025-01-04 11:00:00+00:00,13750915293.803572,24235229.971221425
2025-01-04 11:00:00+00:00,2025-01-04 12:00:00+00:00,13609568455.303572,23892683.713057138
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,13713022914.875,23924615.685249995
2025-01-04 13:00:00+00:00,2025-01-04 14:00:00+00:00,13814047853.303572,24080494.806749996
2025-01-04 14:00:00+00:00,2025-01-04 15:00:00+00:00,13855579959.410715,24166831.80205714
2025-01-04 15:00:00+00:00,2025-01-04 16:00:00+00:00,14247664201.214285,24861756.53197857
2025-01-04 16:00:00+00:00,2025-01-04 17:00:00+00:00,14735180846.232143,25732415.757442854
2025-01-04 17:00:00+00:00,2025-01-04 18:00:00+00:00,15371824325.428572,26897889.45199285
2025-01-04 18:00:00+00:00,2025-01-04 19:00:00+00:00,15829275828.785715,28148971.867792852
2025-01-04 19:00:00+00:00,2025-01-04 20:00:00+00:00,16087962246.678572,29277888.461699992
2025-01-04 20:00:00+00:00,2025-01-04 21:00:00+00:00,16010266227.375,29400232.163699992
2025-01-04 21:00:00+00:00,2025-01-04 22:00:00+00:00,15550997005.589285,28359702.888457138
2025-01-04 22:00:00+00:00,2025-01-04 23:00:00+00:00,14592613114.535715,26190514.549007136
2025-01-04 23:00:00+00:00,2025-01-05 00:00:00+00:00,13658568055.5,24240842.03805714
2025-01-05 00:00:00+00:00,2025-01-05 01:00:00+00:00,12789985062.0,22723924.04772857
2025-01-05 01:00:00+00:00,2025-01-05 02:00:00+00:00,12528457199.73077,22228702.21090769
2025-01-05 02:00:00+00:00,2025-01-05 03:00:00+00:00,12532974939.307692,22236341.567692302
2025-01-05 03:00:00+00:00,2025-01-05 04:00:00+00:00,12513332789.76923,22205899.593938455
2025-01-05 04:00:00+00:00,2025-01-05 05:00:00+00:00,12532853959.884615,22238970.45935384
2025-01-05 05:00:00+00:00,2025-01-05 06:00:00+00:00,12624423900.923077,22372911.432223074
2025-01-05 06:00:00+00:00,2025-01-05 07:00:00+00:00,13791452511.826923,24243887.606099997
2025-01-05 07:00:00+00:00,2025-01-05 08:00:00+00:00,14824609138.25,25962757.628923073
2025-01-05 08:00:00+00:00,2025-01-05 09:00:00+00:00,14906209649.423077,26031438.211176917
2025-01-05 09:00:00+00:00,2025-01-05 10:00:00+00:00,14259662720.134615,24968668.90828461
2025-01-05 10:00:00+00:00,2025-01-05 11:00:00+00:00,13467007704.923077,23589910.331369225
2025-01-05 11:00:00+00:00,2025-01-05 12:00:00+00:00,13288961511.384615,23243817.63137692
2025-01-05 12:00:00+00:00,2025-01-05 13:00:00+00:00,13305788704.75,23230901.14024615
2025-01-05 13:00:00+00:00,2025-01-05 14:00:00+00:00,13270584162.692308,23170853.623630766
2025-01-05 14:00:00+00:00,2025-01-05 15:00:00+00:00,13219501374.173077,23098338.229399994
2025-01-05 15:00:00+00:00,2025-01-05 16:00:00+00:00,13496032105.25,23591730.733546153
2025-01-05 16:00:00+00:00,2025-01-05 17:00:00+00:00,13975589984.23077,24437712.403238457
2025-01-05 17:00:00+00:00,2025-01-05 18:00:00+00:00,14652062404.307692,25632543.150530763
2025-01-05 18:00:00+00:00,2025-01-05 19:00:00+00:00,15101070984.884615,26817609.91951538
2025-01-05 19:00:00+00:00,2025-01-05 20:00:00+00:00,15410070197.25,27946891.86157692
2025-01-05 20:00:00+00:00,2025-01-05 21:00:00+00:00,15377371397.596153,28244031.701369226
2025-01-05 21:00:00+00:00,2025-01-05 22:00:00+00:00,14910166378.326923,27271978.33132307
2025-01-05 22:00:00+00:00,2025-01-05 23:00:00+00:00,13950974003.307692,24992428.78280769
2025-01-05 23:00:00+00:00,2025-01-06 00:00:00+00:00,13030476958.0,23172413.847676918
