start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|FR,145.16,1.84,0.0,0.0,373.67,1.82,51.64,0.0,0.0,0.0,180.03,1848.56,566.35,0.0,18888.07,0.0,0.0,1.35,154.51,252.91,1937.47
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|FR,145.35,0.85,0.0,0.0,376.36,1.82,51.62,0.0,0.0,0.0,146.07,1841.07,563.15,0.0,18841.19,0.0,0.0,1.35,154.65,244.81,1932.83
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|FR,144.76,0.96,0.0,0.0,370.22,1.82,51.68,0.0,0.0,0.0,126.73,1843.38,539.84,0.0,18829.11,0.0,0.0,1.35,154.74,238.69,1916.74
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|FR,144.85,0.8,0.0,0.0,369.6,1.82,51.63,0.0,0.0,0.0,117.97,1842.85,530.45,0.0,18743.41,0.0,0.0,1.35,154.49,231.08,1908.49
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|FR,145.42,1.42,0.0,0.0,367.82,1.83,52.68,0.0,0.0,0.0,90.35,1832.29,511.71,0.0,18708.05,0.0,0.0,1.35,154.52,229.56,1887.67
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|FR,145.31,0.98,0.0,0.0,366.73,1.83,52.67,0.0,0.0,0.0,89.79,1830.01,505.79,0.0,18672.71,0.0,0.0,1.35,154.72,232.42,1887.06
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|FR,145.1,0.63,0.0,0.0,365.41,1.83,52.67,0.0,0.0,0.0,82.97,1829.03,489.3,0.0,18645.82,0.0,0.0,1.35,154.8,237.81,1881.74
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|FR,145.45,0.48,0.0,0.0,367.79,1.83,52.66,0.0,0.0,0.0,88.67,1825.23,481.52,0.0,18618.1,0.0,0.0,1.35,154.86,232.82,1871.46
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|FR,145.58,1.19,0.0,0.0,362.73,1.83,53.08,0.0,0.0,0.0,76.52,1821.29,472.63,0.0,18660.33,0.0,0.0,1.35,154.58,224.13,1835.53
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|FR,145.51,1.01,0.0,0.0,362.35,1.83,53.09,0.0,0.0,0.0,74.78,1813.57,467.26,0.0,18661.51,0.0,0.0,1.35,154.29,214.45,1834.97
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|FR,145.6,1.23,0.0,0.0,367.27,1.83,53.14,0.0,0.0,0.0,71.45,1814.94,469.32,0.0,18684.08,0.0,0.0,1.35,153.95,207.86,1833.74
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,BZN|FR,145.58,1.42,0.0,0.0,368.88,1.83,53.14,0.0,0.0,0.0,64.08,1812.71,477.09,0.0,18691.8,0.0,0.0,1.35,154.22,208.06,1822.0
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,BZN|FR,145.63,0.64,0.0,0.0,378.97,1.82,53.15,0.0,0.0,0.0,86.6,1829.72,503.47,0.0,18774.89,0.0,0.0,42.13,153.86,210.76,1792.46
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,BZN|FR,145.78,0.59,0.0,0.0,384.63,1.82,53.17,0.0,0.0,0.0,87.49,1833.88,507.55,0.0,18801.03,0.0,0.0,42.19,153.43,214.12,1784.02
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,BZN|FR,145.55,0.65,0.0,0.0,389.59,1.82,53.16,0.0,0.0,0.0,110.94,1836.26,522.43,0.0,18848.53,0.0,0.0,42.19,153.74,208.63,1777.84
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,BZN|FR,145.71,1.17,0.0,0.0,404.07,1.82,53.15,0.0,0.0,0.0,120.36,1835.53,530.9,0.0,18882.51,0.0,0.0,42.3,153.27,210.17,1780.5
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,BZN|FR,145.74,0.96,0.0,0.0,447.29,1.81,54.57,0.0,0.0,0.0,226.16,1875.76,585.34,0.0,18983.95,0.0,0.0,162.53,152.28,203.53,1768.72
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,BZN|FR,145.24,0.42,0.0,0.0,465.51,1.81,54.49,0.0,0.0,0.0,260.14,1876.24,599.84,0.0,19003.46,0.0,0.0,198.83,152.5,193.69,1764.43
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,BZN|FR,145.06,0.48,0.0,0.0,469.93,1.81,53.07,0.0,0.0,0.0,313.45,1879.65,599.42,0.0,19018.92,0.0,0.0,237.44,152.35,196.29,1749.86
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,BZN|FR,144.96,0.5,0.0,0.0,480.57,1.81,51.23,0.0,0.0,0.0,338.89,1881.94,601.17,0.0,19045.04,0.0,0.0,281.32,152.85,189.39,1739.92
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,BZN|FR,145.11,0.98,0.0,0.0,509.23,1.81,51.61,0.0,0.0,0.0,453.68,1918.55,653.28,0.0,19135.3,0.0,0.0,478.87,152.69,182.78,1720.14
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,BZN|FR,145.48,1.23,0.0,0.0,519.21,1.81,51.59,0.0,0.0,0.0,499.56,1925.65,657.8,0.0,19166.39,0.0,0.0,613.42,151.84,178.71,1704.85
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,BZN|FR,145.88,0.79,0.0,0.0,518.6,1.81,51.57,0.0,0.0,0.0,537.75,1929.74,654.53,0.0,19167.38,0.0,0.0,768.4,152.03,179.75,1670.5
