start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|FR,177.06,1.72,0.0,0.0,1492.76,19.43,61.88,0.0,0.0,0.0,79.37,2392.34,809.86,0.0,23135.54,0.0,0.0,0.0,132.61,358.27,3797.22
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|FR,176.93,0.35,0.0,0.0,1468.64,19.42,61.8,0.0,0.0,0.0,68.68,2378.14,807.28,0.0,23049.18,0.0,0.0,0.0,132.61,360.72,3808.37
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|FR,176.92,0.82,0.0,0.0,1468.24,19.49,61.77,0.0,0.0,0.0,71.37,2368.24,809.96,0.0,23000.63,0.0,0.0,0.0,132.63,361.11,3814.93
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|FR,177.35,0.2,0.0,0.0,1452.87,19.36,61.73,0.0,0.0,0.0,62.51,2361.58,790.36,0.0,22942.44,0.0,0.0,0.0,132.56,362.31,3819.99
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|FR,177.26,1.87,0.0,0.0,1444.72,20.02,61.79,0.0,0.0,0.0,65.48,2339.89,758.02,0.0,22896.03,0.0,0.0,0.0,132.51,366.45,3810.73
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|FR,177.39,1.02,0.0,0.0,1442.94,19.87,61.74,0.0,0.0,0.0,59.9,2330.13,754.16,0.0,22842.88,0.0,0.0,0.0,132.64,369.36,3813.96
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|FR,177.47,0.53,0.0,0.0,1426.91,19.91,61.76,0.0,0.0,0.0,59.27,2327.0,722.22,0.0,22804.13,0.0,0.0,0.0,132.63,367.35,3817.29
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|FR,177.44,0.53,0.0,0.0,1420.13,19.85,61.66,0.0,0.0,0.0,52.53,2321.38,696.78,0.0,22729.79,0.0,0.0,0.0,132.5,367.7,3820.76
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|FR,177.16,1.25,0.0,0.0,1434.65,20.76,61.82,0.0,0.0,0.0,51.85,2307.66,681.19,0.0,22690.32,0.0,0.0,0.0,132.68,369.51,3802.51
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|FR,177.46,0.66,0.0,0.0,1434.26,20.69,61.82,0.0,0.0,0.0,55.98,2304.41,675.4,0.0,22634.4,0.0,0.0,0.0,133.18,369.37,3806.63
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|FR,177.45,0.51,0.0,0.0,1431.56,20.72,61.79,0.0,0.0,0.0,49.69,2292.82,661.36,0.0,22592.61,0.0,0.0,0.0,132.87,372.99,3805.46
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,BZN|FR,177.54,0.36,0.0,0.0,1428.03,20.71,61.75,0.0,0.0,0.0,49.27,2287.63,654.36,0.0,22566.02,0.0,0.0,0.0,132.82,372.87,3799.25
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,BZN|FR,177.62,0.82,0.0,0.0,1443.23,25.42,61.83,0.0,0.0,0.0,46.01,2289.5,644.13,0.0,22593.35,0.0,0.0,0.0,132.61,369.57,3733.87
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,BZN|FR,177.6,0.28,0.0,0.0,1456.88,32.28,61.83,0.0,0.0,0.0,49.19,2289.39,650.81,0.0,22604.53,0.0,0.0,0.0,132.52,368.34,3734.55
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,BZN|FR,177.59,0.47,0.0,0.0,1462.9,38.29,61.87,0.0,0.0,0.0,50.12,2290.97,657.11,0.0,22632.49,0.0,0.0,0.0,132.59,367.76,3746.04
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,BZN|FR,177.97,0.72,0.0,0.0,1469.5,41.67,61.82,0.0,0.0,0.0,55.32,2290.67,668.18,0.0,22646.3,0.0,0.0,0.0,132.18,368.93,3758.52
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,BZN|FR,177.73,1.12,0.0,0.0,1502.28,52.14,61.76,0.0,0.0,0.0,58.93,2318.07,691.91,0.0,22759.16,0.0,0.0,0.0,131.99,371.58,3741.33
