start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|DE-LU,3790.62,0.0,6995.84,545.58,3983.27,1519.83,335.15,0.0,0.0,17.83,246.08,1700.23,205.23,0.0,0.0,131.5,84.02,10.67,713.25,2612.06,8908.62
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|DE-LU,3787.99,0.0,6971.94,548.26,3974.25,1504.3,335.16,0.0,0.0,17.87,166.81,1698.87,175.31,0.0,0.0,131.5,84.12,10.64,715.25,2625.4,8882.31
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|DE-LU,3784.3,0.0,6977.65,552.68,3975.12,1500.0,335.06,0.0,0.0,17.93,154.1,1697.31,187.84,0.0,0.0,131.49,84.1,10.88,715.16,2610.38,8817.63
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|DE-LU,3783.91,0.0,6963.82,548.93,3974.49,1486.73,335.09,0.0,0.0,17.98,137.29,1695.57,181.69,0.0,0.0,131.49,84.15,10.49,714.94,2602.0,8783.69
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|DE-LU,3773.79,0.0,6962.26,547.93,3991.01,1475.34,335.13,0.0,0.0,18.03,195.62,1699.95,198.37,0.0,0.0,131.5,84.12,10.61,714.73,2594.02,8759.29
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|DE-LU,3777.82,0.0,6965.12,548.44,3995.85,1474.59,335.14,0.0,0.0,18.07,175.74,1698.12,186.11,0.0,0.0,131.51,84.06,10.47,713.91,2562.16,8745.34
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|DE-LU,3779.62,0.0,6998.98,549.39,4011.36,1480.85,335.15,0.0,0.0,18.13,189.15,1698.52,189.27,0.0,0.0,131.52,84.15,10.53,714.79,2534.64,8707.2
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|DE-LU,3785.55,0.0,7027.95,548.26,4025.34,1478.51,335.28,0.0,0.0,18.16,186.17,1700.1,192.84,0.0,0.0,131.51,84.2,10.48,715.61,2503.35,8708.74
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|DE-LU,3812.53,0.0,7113.4,546.43,4096.82,1490.52,335.23,0.0,0.0,18.18,217.24,1700.52,191.73,0.0,0.0,131.5,84.28,10.41,715.08,2465.43,8685.4
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|DE-LU,3828.05,0.0,7164.31,546.11,4137.27,1503.26,335.21,0.0,0.0,18.16,240.87,1703.52,207.12,0.0,0.0,131.5,84.35,11.94,714.97,2437.34,8688.54
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|DE-LU,3835.62,0.0,7221.17,547.81,4201.33,1532.19,335.18,0.0,0.0,18.16,282.83,1705.91,230.24,0.0,0.0,131.49,84.33,14.16,716.22,2406.36,8715.69
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,BZN|DE-LU,3847.85,0.0,7293.37,548.39,4279.7,1567.48,335.18,0.0,0.0,18.2,331.05,1708.52,240.15,0.0,0.0,131.5,84.42,21.12,716.54,2374.12,8738.14
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,BZN|DE-LU,3897.51,0.0,7394.75,549.64,4498.95,1632.22,335.21,0.0,0.0,18.17,318.36,1711.42,235.19,0.0,0.0,131.45,84.44,50.24,709.08,2325.29,8729.14
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,BZN|DE-LU,3924.08,0.0,7487.5,548.33,4621.27,1683.07,335.21,0.0,0.0,17.91,366.97,1712.26,239.47,0.0,0.0,131.46,84.58,120.24,706.42,2271.08,8728.48
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,BZN|DE-LU,3956.01,0.0,7585.36,549.55,4751.48,1748.58,335.07,0.0,0.0,17.96,598.44,1716.22,282.69,0.0,0.0,131.46,84.59,266.43,707.65,2208.88,8731.03
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,BZN|DE-LU,4000.24,0.0,7705.42,551.11,4867.15,1818.35,335.04,0.0,0.0,18.05,1127.39,1729.72,331.97,0.0,0.0,131.47,84.42,528.21,707.66,2131.38,8651.11
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,BZN|DE-LU,4127.92,0.0,7803.62,546.85,5204.35,1891.7,335.04,0.0,0.0,18.03,1811.61,1762.62,298.93,0.0,0.0,131.53,84.31,909.65,702.67,2093.19,8743.32
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,BZN|DE-LU,4192.03,0.0,7887.38,548.72,5348.24,1944.62,334.83,0.0,0.0,17.99,2673.8,1776.75,377.31,0.0,0.0,131.54,84.05,1441.96,702.89,2065.94,8646.11
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,BZN|DE-LU,4229.64,0.0,7917.49,547.32,5498.99,1987.13,334.82,0.0,0.0,17.97,3247.29,1786.23,441.0,0.0,0.0,131.54,83.66,2166.55,701.67,2027.98,8519.24
