start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|DE-LU,4072.89,0.0,7386.72,524.57,5923.84,4130.92,345.47,0.0,0.0,30.92,128.18,1438.14,65.28,0.0,577.67,217.84,107.27,5.12,709.54,4108.5,20835.37
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|DE-LU,4066.88,0.0,7338.32,523.29,5885.36,4126.2,345.46,0.0,0.0,30.94,101.24,1434.82,61.8,0.0,577.74,216.89,107.0,4.83,707.65,4071.9,20854.56
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|DE-LU,4063.41,0.0,7328.76,525.37,5882.43,4135.42,345.53,0.0,0.0,30.84,96.96,1434.66,59.18,0.0,577.53,216.77,106.92,4.76,708.78,4040.53,20848.28
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|DE-LU,4061.83,0.0,7312.79,526.5,5886.28,4146.36,345.46,0.0,0.0,30.82,76.66,1433.29,45.37,0.0,577.54,217.03,106.87,4.81,708.9,4019.07,20795.69
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|DE-LU,4050.08,0.0,7352.03,526.4,5879.57,4139.98,345.5,0.0,0.0,30.81,110.34,1433.48,61.12,0.0,577.59,217.29,106.88,5.03,704.84,3955.69,20811.51
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|DE-LU,4051.06,0.0,7334.59,526.85,5868.41,4135.84,345.37,0.0,0.0,30.8,94.82,1432.0,51.69,0.0,577.43,217.26,106.9,4.95,702.79,3964.9,20852.86
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|DE-LU,4046.1,0.0,7316.42,530.4,5867.34,4138.89,345.44,0.0,0.0,30.78,81.31,1431.38,50.34,0.0,577.45,217.26,106.86,4.92,703.4,3967.57,20859.95
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|DE-LU,4047.26,0.0,7311.62,532.74,5873.83,4147.44,345.36,0.0,0.0,30.82,80.08,1431.5,47.35,0.0,577.51,217.04,106.58,4.91,703.56,3931.38,20879.56
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|DE-LU,4038.39,0.0,7328.17,529.37,5897.52,4156.89,345.4,0.0,0.0,30.75,83.06,1429.52,56.12,0.0,577.36,216.12,106.28,4.9,700.77,3904.86,20946.46
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|DE-LU,4042.17,0.0,7323.08,524.8,5909.51,4158.81,345.42,0.0,0.0,30.7,74.65,1430.12,52.97,0.0,577.48,215.79,106.15,4.85,702.28,3911.89,20995.96
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|DE-LU,4041.19,0.0,7360.09,524.13,5911.9,4166.11,345.38,0.0,0.0,30.7,72.56,1430.61,55.0,0.0,577.53,215.82,106.0,4.84,702.07,3918.92,21000.21
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,BZN|DE-LU,4047.95,0.0,7413.13,520.82,5942.68,4193.14,345.49,0.0,0.0,30.72,72.2,1430.35,54.52,0.0,577.31,215.96,106.12,4.92,702.08,3892.13,21025.42
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,BZN|DE-LU,4059.67,0.0,7492.79,514.55,6068.11,4255.07,345.47,0.0,0.0,30.62,68.2,1431.38,61.03,0.0,577.43,216.88,106.3,4.86,696.81,3908.44,21066.17
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,BZN|DE-LU,4071.46,0.0,7541.98,511.57,6126.43,4295.91,345.37,0.0,0.0,30.46,85.71,1433.5,59.84,0.0,577.32,217.05,106.07,4.84,696.96,3880.08,21091.73
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,BZN|DE-LU,4075.45,0.0,7606.47,514.81,6213.28,4334.03,345.25,0.0,0.0,30.34,107.63,1434.35,74.72,0.0,577.26,217.14,105.99,4.81,699.43,3849.31,21087.33
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,BZN|DE-LU,4086.15,0.0,7690.15,514.91,6319.43,4407.95,345.18,0.0,0.0,30.23,100.77,1432.94,66.74,0.0,577.3,218.81,106.48,5.0,699.25,3804.12,21126.62
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,BZN|DE-LU,4110.87,0.0,7863.69,512.12,6658.91,4558.93,347.66,0.0,0.0,29.86,97.24,1433.86,61.6,0.0,577.17,222.04,107.39,4.72,697.13,3775.85,21198.54
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,BZN|DE-LU,4130.46,0.0,8011.54,510.54,6831.97,4640.13,348.21,0.0,0.0,29.68,118.69,1437.66,62.39,0.0,577.33,222.26,107.46,4.77,695.0,3771.22,21295.29
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,BZN|DE-LU,4142.21,0.0,8165.06,516.31,7022.16,4750.99,348.89,0.0,0.0,29.61,158.83,1441.16,84.89,0.0,577.36,222.53,107.44,4.79,695.9,3764.04,21367.83
