start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|PL,128.94,0.0,1470.49,74.85,703.51,2095.99,78.51,0.0,0.0,0.0,0.0,47.86,12.41,0.0,0.0,214.61,21.6,0.0,0.0,0.0,1311.95
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|PL,129.22,0.0,1463.02,74.68,699.08,2095.17,78.59,0.0,0.0,0.0,0.0,47.86,12.42,0.0,0.0,215.14,21.66,0.0,0.0,0.0,1298.36
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|PL,128.91,0.0,1466.45,74.62,696.37,2101.96,78.53,0.0,0.0,0.0,0.0,47.83,12.42,0.0,0.0,214.83,21.62,0.0,0.0,0.0,1294.6
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|PL,128.99,0.0,1474.46,73.43,688.18,2103.51,78.49,0.0,0.0,0.0,0.0,47.79,12.4,0.0,0.0,211.51,21.13,0.0,0.0,0.0,1278.05
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|PL,128.76,0.0,1501.87,74.61,690.54,2122.3,78.41,0.0,0.0,0.0,0.0,47.83,12.41,0.0,0.0,214.57,21.6,0.0,0.0,0.0,1260.44
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|PL,128.6,0.0,1500.62,75.21,691.2,2119.05,78.61,0.0,0.0,0.0,0.0,47.85,12.41,0.0,0.0,215.54,21.66,0.0,0.0,0.0,1251.6
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|PL,129.04,0.0,1507.94,75.28,698.96,2122.08,78.41,0.0,0.0,0.0,0.0,47.82,12.41,0.0,0.0,215.68,21.68,0.0,0.0,0.0,1246.82
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|PL,128.84,0.0,1517.61,75.38,693.14,2110.1,78.64,0.0,0.0,0.0,0.0,47.86,12.41,0.0,0.0,215.77,21.68,0.0,0.0,0.0,1246.45
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|PL,130.52,0.0,1543.15,75.51,698.76,2150.69,78.75,0.0,0.0,0.0,0.0,47.76,12.41,0.0,0.0,216.14,21.7,12.32,0.0,0.0,1232.08
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|PL,130.89,0.0,1543.59,75.55,712.27,2157.42,78.66,0.0,0.0,0.0,0.0,47.73,12.41,0.0,0.0,215.9,21.69,19.41,0.0,0.0,1240.76
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|PL,130.99,0.0,1543.2,75.64,719.88,2185.43,78.76,0.0,0.0,0.0,0.0,47.75,12.41,0.0,0.0,215.79,21.68,38.32,0.0,0.0,1239.77
