start_utc_15,end_utc_15,Area,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and pondage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,BZN|PL,145.2,0.0,1547.6,70.68,1096.19,3326.15,122.2,0.0,0.0,0.0,5.35,76.83,13.63,0.0,0.0,228.52,21.43,0.0,0.0,0.0,1496.06
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,BZN|PL,144.87,0.0,1536.76,70.55,1099.75,3317.99,122.55,0.0,0.0,0.0,5.34,76.79,13.63,0.0,0.0,228.77,21.46,0.0,0.0,0.0,1496.7
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,BZN|PL,144.86,0.0,1538.75,70.55,1093.8,3323.2,122.42,0.0,0.0,0.0,5.32,76.83,13.63,0.0,0.0,229.44,21.53,0.0,0.0,0.0,1490.54
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,BZN|PL,145.25,0.0,1523.88,70.13,1094.56,3317.56,122.4,0.0,0.0,0.0,5.32,76.83,13.63,0.0,0.0,229.49,21.53,0.0,0.0,0.0,1479.7
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,BZN|PL,145.59,0.0,1529.04,69.74,1094.71,3332.54,122.3,0.0,0.0,0.0,0.56,76.56,13.61,0.0,0.0,229.04,21.49,0.0,0.0,0.0,1481.97
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,BZN|PL,145.82,0.0,1534.6,69.62,1093.51,3322.18,122.49,0.0,0.0,0.0,0.56,76.59,13.62,0.0,0.0,228.48,21.44,0.0,0.0,0.0,1472.01
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,BZN|PL,146.13,0.0,1535.08,69.63,1096.33,3314.89,122.41,0.0,0.0,0.0,0.56,76.58,13.61,0.0,0.0,228.99,21.49,0.0,0.0,0.0,1468.08
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,BZN|PL,145.87,0.0,1527.49,69.7,1093.63,3311.26,122.31,0.0,0.0,0.0,0.56,76.59,13.62,0.0,0.0,228.63,21.45,0.0,0.0,0.0,1465.53
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,BZN|PL,145.74,0.0,1522.39,70.11,1096.53,3304.02,122.26,0.0,0.0,0.0,0.43,76.7,13.61,0.0,0.0,228.51,21.43,0.0,0.0,0.0,1466.39
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,BZN|PL,146.02,0.0,1527.98,70.11,1101.96,3311.24,122.36,0.0,0.0,0.0,0.43,76.72,13.61,0.0,0.0,228.47,21.42,0.0,0.0,0.0,1462.49
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,BZN|PL,145.7,0.0,1529.7,70.01,1100.19,3323.75,122.38,0.0,0.0,0.0,0.43,76.73,13.6,0.0,0.0,228.05,21.38,0.0,0.0,0.0,1462.24
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,BZN|PL,145.77,0.0,1527.78,70.05,1104.01,3333.43,122.48,0.0,0.0,0.0,0.43,76.67,13.6,0.0,0.0,229.51,21.51,0.0,0.0,0.0,1465.71
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,BZN|PL,146.4,0.0,1553.77,70.21,1097.45,3369.53,122.48,0.0,0.0,0.0,0.56,76.57,14.32,0.0,0.0,229.79,21.53,0.0,0.0,0.0,1474.97
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,BZN|PL,146.55,0.0,1561.51,70.2,1100.63,3391.94,121.88,0.0,0.0,0.0,0.56,76.58,14.32,0.0,0.0,229.53,21.51,0.0,0.0,0.0,1479.34
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,BZN|PL,146.5,0.0,1562.45,70.19,1097.72,3406.92,122.09,0.0,0.0,0.0,0.56,76.57,14.32,0.0,0.0,229.36,21.49,0.0,0.0,0.0,1479.91
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,BZN|PL,146.78,0.0,1565.8,70.39,1123.15,3411.04,122.08,0.0,0.0,0.0,0.56,76.55,14.32,0.0,0.0,229.56,21.51,0.0,0.0,0.0,1480.48
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,BZN|PL,147.71,0.0,1625.99,70.54,1144.17,3451.1,122.21,0.0,0.0,0.0,1.07,76.12,14.7,0.0,0.0,230.51,21.6,0.0,0.0,0.0,1495.03
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,BZN|PL,148.03,0.0,1652.36,70.43,1152.79,3482.42,122.18,0.0,0.0,0.0,1.07,76.09,14.7,0.0,0.0,230.8,21.63,0.0,0.0,0.0,1501.49
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,BZN|PL,148.05,0.0,1668.61,70.15,1177.8,3563.94,122.17,0.0,0.0,0.0,1.07,76.09,14.7,0.0,0.0,230.39,21.59,0.0,0.0,0.0,1512.04
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,BZN|PL,148.34,0.0,1702.73,70.28,1203.01,3636.5,122.03,0.0,0.0,0.0,1.07,76.09,14.7,0.0,0.0,231.49,21.66,0.0,0.0,0.0,1508.0
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,BZN|PL,149.85,0.0,1863.53,70.5,1283.35,3812.47,122.75,0.0,0.0,0.0,19.86,78.99,18.83,0.0,0.0,232.93,21.84,0.88,0.0,0.0,1558.98
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,BZN|PL,149.66,0.0,1908.95,70.66,1349.58,3877.81,122.85,0.0,0.0,0.0,23.18,79.23,18.84,0.0,0.0,232.67,21.82,1.61,0.0,0.0,1561.36
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,BZN|PL,149.99,0.0,1946.95,70.77,1389.08,3996.61,122.98,0.0,0.0,0.0,24.45,79.48,17.63,0.0,0.0,233.14,21.91,7.81,0.0,0.0,1562.26
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,BZN|PL,150.36,0.0,1999.19,70.9,1393.35,4075.18,122.84,0.0,0.0,0.0,32.48,79.48,24.44,0.0,0.0,233.42,21.91,12.17,0.0,0.0,1565.35
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,BZN|PL,152.95,0.0,2109.43,71.78,1412.33,4214.71,123.35,0.0,0.0,0.0,91.07,86.23,40.88,0.0,0.0,235.38,22.13,43.03,0.0,0.0,1608.03
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,BZN|PL,152.82,0.0,2136.81,72.03,1413.57,4237.5,123.38,0.0,0.0,0.0,91.2,86.19,39.99,0.0,0.0,235.55,22.14,62.75,0.0,0.0,1611.6
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,BZN|PL,152.69,0.0,2147.48,72.72,1410.25,4237.65,123.2,0.0,0.0,0.0,91.29,86.31,40.41,0.0,0.0,235.64,22.13,103.43,0.0,0.0,1617.24
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,BZN|PL,152.99,0.0,2147.66,72.69,1395.48,4272.24,123.47,0.0,0.0,0.0,90.23,86.09,42.22,0.0,0.0,235.55,22.12,166.26,0.0,0.0,1625.72
2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,BZN|PL,153.94,0.0,2198.92,72.67,1419.32,4328.64,122.83,0.0,0.0,0.0,133.34,85.51,49.11,0.0,0.0,235.42,22.13,320.77,0.0,0.0,1643.61
2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,BZN|PL,153.98,0.0,2189.64,72.66,1418.74,4305.72,122.67,0.0,0.0,0.0,133.95,85.48,49.21,0.0,0.0,235.35,22.12,420.08,0.0,0.0,1644.35
2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,BZN|PL,154.08,0.0,2188.15,72.55,1410.07,4264.91,122.71,0.0,0.0,0.0,133.76,85.51,49.33,0.0,0.0,235.92,22.18,523.54,0.0,0.0,1635.95
2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,BZN|PL,154.09,0.0,2157.87,72.35,1372.89,4244.0,122.29,0.0,0.0,0.0,133.47,85.5,49.21,0.0,0.0,235.46,22.14,639.92,0.0,0.0,1624.71
2025-01-01 08:00:00+00:00,2025-01-01 08:15:00+00:00,BZN|PL,153.17,0.0,2155.07,72.02,1367.42,4229.19,122.15,0.0,0.0,0.0,105.33,84.47,41.25,0.0,0.0,234.37,22.02,869.68,0.0,0.0,1599.41
2025-01-01 08:15:00+00:00,2025-01-01 08:30:00+00:00,BZN|PL,153.0,0.0,2142.19,71.85,1350.0,4205.94,122.1,0.0,0.0,0.0,87.14,84.66,35.84,0.0,0.0,234.98,22.09,986.5,0.0,0.0,1583.33
2025-01-01 08:30:00+00:00,2025-01-01 08:45:00+00:00,BZN|PL,152.97,0.0,2104.76,71.49,1306.04,4157.92,122.08,0.0,0.0,0.0,73.28,84.65,33.04,0.0,0.0,234.96,22.09,1089.11,0.0,0.0,1570.97
2025-01-01 08:45:00+00:00,2025-01-01 09:00:00+00:00,BZN|PL,152.93,0.0,2053.74,71.06,1278.77,4143.6,121.96,0.0,0.0,0.0,71.77,84.67,30.28,0.0,0.0,234.41,22.05,1185.57,0.0,0.0,1560.79
2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00,BZN|PL,152.53,0.0,2079.42,70.82,1259.83,4155.13,121.74,0.0,0.0,0.0,47.05,79.89,20.78,0.0,0.0,233.69,21.97,1370.56,0.0,0.0,1532.53
2025-01-01 09:15:00+00:00,2025-01-01 09:30:00+00:00,BZN|PL,152.62,0.0,2068.86,70.55,1237.41,4107.23,121.54,0.0,0.0,0.0,33.15,79.83,19.74,0.0,0.0,233.08,21.93,1457.12,0.0,0.0,1524.96
2025-01-01 09:30:00+00:00,2025-01-01 09:45:00+00:00,BZN|PL,152.46,0.0,2055.43,70.73,1232.85,4092.31,121.42,0.0,0.0,0.0,33.15,79.91,22.28,0.0,0.0,232.78,21.91,1519.15,0.0,0.0,1513.4
2025-01-01 09:45:00+00:00,2025-01-01 10:00:00+00:00,BZN|PL,151.25,0.0,2018.15,70.81,1212.3,4093.13,121.18,0.0,0.0,0.0,33.14,79.91,20.28,0.0,0.0,232.29,21.88,1578.47,0.0,0.0,1511.5
2025-01-01 10:00:00+00:00,2025-01-01 10:15:00+00:00,BZN|PL,150.34,0.0,2027.9,71.11,1190.04,4094.46,121.2,0.0,0.0,0.0,28.07,78.31,19.58,0.0,0.0,232.26,21.83,1677.49,0.0,0.0,1488.56
2025-01-01 10:15:00+00:00,2025-01-01 10:30:00+00:00,BZN|PL,149.87,0.0,2013.6,70.88,1198.0,4082.75,121.06,0.0,0.0,0.0,21.47,78.33,19.31,0.0,0.0,231.71,21.78,1707.48,0.0,0.0,1492.13
2025-01-01 10:30:00+00:00,2025-01-01 10:45:00+00:00,BZN|PL,150.24,0.0,2000.8,70.59,1197.1,4070.47,121.11,0.0,0.0,0.0,21.47,78.32,18.87,0.0,0.0,231.9,21.79,1726.01,0.0,0.0,1488.66
